f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33
J29,E,68,16,0.3,1.2,5,9.2,6.6,6.8,6.5,4.4,5,4.7,5.6,5,4,2.4,0.8,0.2,,,,,,,,,,,,,
J29,E,26,9,0.5,1,3.5,7.8,5.8,4.5,2.3,0.4,0.2,,,,,,,,,,,,,,,,,,,,
J29,E,1,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,E,1,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,F,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,F,1,3,0.3,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,F,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,F,18,8,0.3,1,2.8,6.2,4.1,3.1,0.7,0.2,,,,,,,,,,,,,,,,,,,,,
J29,F,41,13,0.5,1.5,5,7.4,4.2,6.4,6.5,4,2.4,1.4,0.8,0.4,0.2,,,,,,,,,,,,,,,,
J29,F,15,8,0.4,1.2,4,5.4,1.5,1.7,0.7,0.3,,,,,,,,,,,,,,,,,,,,,
J29,F,2,4,0.3,0.7,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
J29,F,5.5,6,0.3,0.7,2.2,1.6,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
J29,F,1,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,F,2,5,0.2,0.6,0.8,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,
J29,F,0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,G,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,G,3,4,0.2,0.5,1.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
J29,G,28,8,0.5,1.2,6.7,8.1,5.5,3.9,1.5,0.5,,,,,,,,,,,,,,,,,,,,,
J29,G,2,3,0.3,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,G,32,11,0.3,1.1,6,8.2,7.1,4.8,2.7,0.7,0.5,0.3,0.2,,,,,,,,,,,,,,,,,,
J29,G,28,9,0.3,1.2,6.5,9.1,5,3.2,1.8,0.6,0.2,,,,,,,,,,,,,,,,,,,,
J29,G,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,G,1,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,G,1,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,G,1,2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,H,1,3,0.2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,H,1,2,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,H,2,3,0.3,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,H,97,17,0.5,1.8,8.4,9.8,8.8,9.3,8.5,7.1,6.7,7.3,7.2,7.4,6.2,4.8,2.4,0.7,0.2,,,,,,,,,,,,
J29,H,55,12,0.5,3.1,9,8.5,7.7,7.7,6.2,4.9,5.2,1.1,0.6,0.2,,,,,,,,,,,,,,,,,
J29,H,1,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,H,1,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
J29,H,86,16,0.5,4.1,9.1,9.2,9.8,8.3,6.6,6.5,5.6,6,7.5,5.6,3.5,2.4,0.7,0.2,,,,,,,,,,,,,
Q23,A,0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,A,21,7,0.3,1.5,5.1,7.6,4.8,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,
Q23,A,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,A,1,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,A,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,A,0,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,A,3,4,0.4,0.5,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,1,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,1.5,3,0.2,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,1,3,0.2,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,20,9,0.6,1.5,4.5,5.5,3.1,2,1.5,1,0.5,,,,,,,,,,,,,,,,,,,,
Q23,B,1,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,5.5,5,0.4,0.8,2.3,1.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,1,3,0.2,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,1,3,0.3,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,1,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,B,6,5,0.5,1.2,2.2,1.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Q23,C,1.5,4,0.2,0.6,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,C,9,5,0.3,2.1,4.1,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Q23,C,86,16,0.5,2,7.3,10,10.6,8.6,8.6,6.7,5.8,5.2,5.5,5.1,4.9,3.4,1.5,0.4,,,,,,,,,,,,,
Q23,C,20,6,0.3,2.4,6.3,7.6,2.8,0.2,,,,,,,,,,,,,,,,,,,,,,,
Q23,C,26,8,0.5,1.5,4.2,6.3,7.1,4.5,1.6,0.3,,,,,,,,,,,,,,,,,,,,,
Q23,C,1.5,3,0.2,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,C,1,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,C,1,3,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,1,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,1,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,1,3,0.2,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,1,3,0.3,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,2,4,0.2,0.5,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,14,6,0.4,1.1,2.7,6,3.5,0.4,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,2,4,0.3,0.6,0.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,D,1,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,1,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,1,3,0.3,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,2,3,0.3,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,1,3,0.3,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,6,5,0.4,0.9,1.7,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,1.5,4,0.2,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,3,4,0.4,0.7,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,1,3,0.3,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,7,5,0.4,1.3,2.7,2.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,2,4,0.7,0.8,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,1,2,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,1.5,4,0.2,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,E,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,F,25,9,0.3,0.7,2.1,5,6.1,4.9,4.1,1.8,0.3,,,,,,,,,,,,,,,,,,,,
Q23,F,41.5,12,0.5,1.2,3.7,5.6,8,6.2,3.9,5,4.4,1.8,1,0.2,,,,,,,,,,,,,,,,,
Q23,F,3.5,4,0.4,1.1,1.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,F,22,8,0.3,1,3,5.6,6.3,4.2,1.5,0.2,,,,,,,,,,,,,,,,,,,,,
Q23,F,4,4,0.5,1.3,1.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,F,2,4,0.3,1,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,F,1.5,3,0.2,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,F,0,2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,F,1,3,0.3,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,F,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,3,0.3,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,0,2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,3,0.2,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,3,0.2,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,15,7,0.3,0.8,2.2,3.8,5.2,2.7,0.3,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,4,0.2,0.4,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,4,0.2,0.5,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,2,3,0.3,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,19,6,0.4,1.2,4.2,6.3,5.5,1.6,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,37,10,0.5,1.3,4.5,7.4,8,6.8,5.5,2,0.9,0.3,,,,,,,,,,,,,,,,,,,
Q23,G,7,4,0.3,2.3,3.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,11,5,0.5,3,4.6,2.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,31,10,0.3,1.1,3.7,5.8,7,5,3.8,2.8,1.5,0.2,,,,,,,,,,,,,,,,,,,
Q23,G,0.5,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,2,3,0.3,0.7,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,5,5,0.3,0.6,1.8,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,2,4,0.2,0.8,1.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q23,G,1,3,0.2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,A,3,4,0.3,0.8,1.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
J13,A,44,8,2,8.8,13.1,9.6,6.2,3.2,1.1,0.2,,,,,,,,,,,,,,,,,,,,,
J13,B,20.5,7,0.6,2,2.6,4.2,5.2,4.3,1.6,,,,,,,,,,,,,,,,,,,,,,
J13,B,1,2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,B,3,4,0.6,1.4,0.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
J13,B,4,4,0.5,1.2,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
J13,B,4.5,4,0.3,1.7,1.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,
J13,B,47,9,1.9,4,7.8,11.1,10.8,6.2,3.3,1.5,0.3,,,,,,,,,,,,,,,,,,,,
J13,B,69,17,0.8,3.6,5.2,7,8.2,9.1,7.5,6.2,5.3,4.2,4.4,1.7,1.6,1.7,1.7,0.8,0.2,,,,,,,,,,,,
J13,B,30,8,0.5,1.8,3,4.3,7.6,7.9,4,0.8,,,,,,,,,,,,,,,,,,,,,
J13,B,6,5,0.3,1.7,2.3,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,
J13,B,2,4,0.2,0.8,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
J13,B,5,6,0.3,1.1,1.2,0.8,1.1,0.4,,,,,,,,,,,,,,,,,,,,,,,
J13,C,1,2,0.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,C,6,5,0.3,1.3,2.7,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,
J13,C,43,9,0.3,2.2,6.2,9.5,10.5,7.8,5.1,1.4,0.2,,,,,,,,,,,,,,,,,,,,
J13,C,23,6,0.3,3.8,8.1,7.5,2.8,0.2,,,,,,,,,,,,,,,,,,,,,,,
J13,C,42.5,8,0.7,3.7,10.1,10.5,9.3,5.3,2.6,0.3,,,,,,,,,,,,,,,,,,,,,
J13,C,104,20,0.5,2.5,8.2,10.7,9.8,8.5,7.3,7,5.4,4,4.7,7.3,6.9,4.5,5,5.3,3.4,1.9,1,0.3,,,,,,,,,
J13,C,9,5,0.3,2.5,5.1,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,
J13,D,2,3,0.5,1.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,D,22.5,6,1.6,6.2,7,5.2,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,
J13,D,29,6,0.5,2.8,9.1,9.6,5.9,1.3,,,,,,,,,,,,,,,,,,,,,,,
J13,D,61,10,0.3,4.2,9.7,12.3,12.4,9.5,7.2,3.6,1.9,0.2,,,,,,,,,,,,,,,,,,,
J13,D,40.5,9,0.6,3,6.5,10.2,8.1,6.8,3.8,1.3,0.2,,,,,,,,,,,,,,,,,,,,
J13,D,11,5,0.5,2.5,6.3,1.9,0.2,,,,,,,,,,,,,,,,,,,,,,,,
J13,E,70,13,0.5,1.8,3.2,6.2,8,10.2,9.3,8,7,7.4,5.2,2.7,0.4,,,,,,,,,,,,,,,,
J13,F,1.5,3,0.5,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,1,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,1,3,0.2,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,1,3,0.3,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,1,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,1,2,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,6.5,6,0.5,1.1,1.3,1.7,1.5,0.4,,,,,,,,,,,,,,,,,,,,,,,
J13,F,1,3,0.5,0.6,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,1,3,0.2,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,6,5,0.6,1.5,1.2,1.7,1,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,0.5,2,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,2,3,0.3,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,3.5,5,0.3,1.2,1,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,
J13,F,0.5,2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
J25,A,92,17,0.6,2.3,7.5,9.5,9,7.8,8,7.2,6,6.2,5,5.5,4.6,4.4,4.3,2.8,0.9,,,,,,,,,,,,
J25,B,24,5,0.6,3.4,11.1,7.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,
J25,C,56.5,11,1.5,6.3,9.7,7.6,6.5,5.9,6,4.3,4.5,3.3,0.9,,,,,,,,,,,,,,,,,,
J25,C,97,16,0.8,5,12,13,11,8.6,9,7.1,5.4,5.2,6,5.1,3.6,2.6,1.8,0.6,,,,,,,,,,,,,
J25,C,122,19,1.5,5.5,11.7,13,8.5,8.3,7.3,6.1,6.2,5.7,6.7,6.8,7,6.9,5.5,4.5,4.6,3.4,2.4,,,,,,,,,,
J25,D,12,5,0.4,3.3,6.6,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,
J25,D,46,9,1.2,2.3,8,9.1,7.5,7,5.3,3.8,1.6,,,,,,,,,,,,,,,,,,,,
J25,E,44,11,0.4,1.6,6,8.1,7,6.5,5.4,4.2,3.2,1.7,0.2,,,,,,,,,,,,,,,,,,
J25,E,35,8,0.5,1.6,6.2,8.2,7.3,5.8,4.1,1.4,,,,,,,,,,,,,,,,,,,,,
J25,E,39,7,0.7,4,12,11.5,7.6,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,
J25,F,23,7,0.3,1.4,4.8,7.2,6,2.8,0.3,,,,,,,,,,,,,,,,,,,,,,
J25,F,98,16,0.8,2.6,8.2,11.2,10.6,9.2,8.6,8.1,8.2,7.2,5.8,6.6,5.5,3.4,1.7,0.4,,,,,,,,,,,,,
J25,F,1,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
J25,F,33.5,8,0.3,0.8,2.5,6.5,8.3,6.1,6,3,,,,,,,,,,,,,,,,,,,,,
J25,F,22,7,0.3,1,3.6,5.3,6.1,4.5,1.5,,,,,,,,,,,,,,,,,,,,,,
J25,F,40,8,0.4,1.1,4.3,7.7,8.8,8.6,5.8,2.9,,,,,,,,,,,,,,,,,,,,,
O27,A,24,7,0.3,1.8,6.2,7.8,5.3,2.3,0.4,,,,,,,,,,,,,,,,,,,,,,
O27,A,1,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,A,39,8,0.3,2.1,7.6,10.1,8.3,6.3,3.1,1.3,,,,,,,,,,,,,,,,,,,,,
O27,A,19.5,6,0.3,2.2,6.6,6.6,3.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
O27,A,37,8,0.6,3.2,8.1,9.3,7.1,5.2,2.5,0.7,,,,,,,,,,,,,,,,,,,,,
O27,B,95,17,0.6,3,9.2,10.5,9.2,9.1,8.2,7.2,7.3,6.4,7,5.2,4.3,3.7,2.3,1.6,0.3,,,,,,,,,,,,
O27,B,12,4,0.3,1.2,5.5,5,,,,,,,,,,,,,,,,,,,,,,,,,
O27,B,34,7,0.2,1.8,8.2,10.6,7.5,4,1.5,,,,,,,,,,,,,,,,,,,,,,
O27,B,13,5,0.3,2,6.2,3.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,
O27,B,39,8,0.3,2.6,10.1,10.8,7.8,4.5,2.1,0.6,,,,,,,,,,,,,,,,,,,,,
O27,B,20,6,0.6,1.6,7.8,7.3,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,
O27,B,40,9,0.5,3.1,10.3,10.1,7.4,4.4,2.8,1.5,0.3,,,,,,,,,,,,,,,,,,,,
O27,C,123,20,1.4,4,10.7,12,11.3,10.8,8.6,8.1,7.1,6,7.6,5.7,6.1,6,5.5,4,3.2,2.6,1.7,0.2,,,,,,,,,
O27,C,2,3,0.3,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,C,5,4,0.3,0.8,2.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
O27,C,15,6,0.3,1.5,5.8,5.1,2.1,0.5,,,,,,,,,,,,,,,,,,,,,,,
O27,C,28,8,0.3,1,5.5,7.6,6.8,4.6,1.6,0.4,,,,,,,,,,,,,,,,,,,,,
O27,C,23,7,0.4,1.3,5.8,7.7,5.6,2.1,0.2,,,,,,,,,,,,,,,,,,,,,,
O27,C,6,5,0.2,0.6,2.2,2.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,
O27,C,2,4,0.2,0.6,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
O27,C,53,10,0.4,2.2,7.3,11.1,9.2,8.5,6.6,4.4,2.5,1.1,,,,,,,,,,,,,,,,,,,
O27,C,46,9,0.4,2.1,7.1,9.9,9.2,7.6,5.1,3.4,1.1,,,,,,,,,,,,,,,,,,,,
O27,D,1,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,D,1,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,D,1,3,0.3,0.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,D,3,4,0.2,0.9,1.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
O27,D,9,4,0.4,1.6,5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
O27,D,34,8,0.2,1.5,7.1,9.1,7.1,4.6,3,1.7,,,,,,,,,,,,,,,,,,,,,
O27,D,36,8,0.3,2,7.8,9.7,8.1,5.5,2,0.6,,,,,,,,,,,,,,,,,,,,,
O27,D,67,15,0.6,1.9,6.9,8.3,7.2,6.5,4.6,5.2,5.5,5.4,5.1,5.5,3.1,1.3,0.3,,,,,,,,,,,,,,
O27,E,65,11,1.1,4.8,9.6,10.8,8.6,7.8,6.3,5.8,5.7,3.2,1.5,,,,,,,,,,,,,,,,,,
O27,E,146,25,0.6,3.5,10.3,12.1,10.3,9.5,9,9.6,9.2,8,9.3,9.4,9.3,8.5,5.9,5.1,4.5,3.4,2.9,2,1.2,0.8,0.6,0.7,0.3,,,,
O27,F,5,4,0.2,1,2.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,
O27,F,1,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,F,3,4,0.3,1.2,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
O27,F,2,3,0.3,0.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,F,1,3,0.3,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,F,1,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
O27,F,46,11,0.3,2,7.2,8.8,7.2,6.6,5,3.6,3,1.8,0.4,,,,,,,,,,,,,,,,,,
D20,A,1,2,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,A,6,4,0.9,2.1,3.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,
D20,A,16,4,0.6,3.1,6.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,3,3,0.8,1.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,3,3,0.6,1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,2,3,0.6,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,1.5,3,0.3,0.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,3,3,0.6,1.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,2,3,0.4,1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,5,4,0.6,1.2,2.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
D20,B,2,3,0.5,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,C,4.5,3,0.6,2.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,C,17.5,6,0.5,2,6.5,6.1,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,
D20,C,5,5,0.4,0.7,2,1.8,0.3,,,,,,,,,,,,,,,,,,,,,,,,
D20,C,16,6,0.8,2.5,5.8,4.5,2.1,0.3,,,,,,,,,,,,,,,,,,,,,,,
D20,C,35,10,0.8,2.6,6.2,7.6,5.4,5.6,3.4,2,1.3,0.5,,,,,,,,,,,,,,,,,,,
D20,D,5,4,0.4,1.8,2.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
D20,D,1.5,2,0.9,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,D,5,5,0.5,0.9,1.1,1.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,
D20,D,2,3,0.3,1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,D,4,3,1,2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,D,10,4,0.6,3.2,5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
D20,D,18,7,0.4,1.1,3.2,5.6,4.1,2.6,1.1,,,,,,,,,,,,,,,,,,,,,,
D20,E,9,5,0.3,1.4,3.6,3.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,
D20,E,2,3,0.3,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,E,10,5,0.3,1.7,3.6,3.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,
D20,E,2,3,0.5,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,E,26,7,0.6,3,7,7.6,4.2,3.3,0.7,,,,,,,,,,,,,,,,,,,,,,
D20,F,3,3,0.5,1.3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,F,2,3,0.4,0.8,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
D20,F,22,6,1,4.3,7.6,6.7,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,
D20,F,13,5,0.8,2.2,4,4.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,
D20,F,9,4,1,2.8,4.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
D20,F,13,5,0.6,2,3.8,5.1,1.8,,,,,,,,,,,,,,,,,,,,,,,,
D20,G,26,9,0.8,2.3,6.1,8.1,3.5,2.9,1.1,0.6,0.2,,,,,,,,,,,,,,,,,,,,
J19,A,7,5,0.2,0.6,2.3,3.2,1,,,,,,,,,,,,,,,,,,,,,,,,
J19,A,24.5,8,0.2,0.7,2.1,5.6,7.1,5.5,2.5,0.8,,,,,,,,,,,,,,,,,,,,,
J19,B,125,18,0.6,1.5,4.4,9.3,12,13.4,12.4,11.5,9,8,6.9,7.3,8.2,8.3,6.3,4.5,1,0.3,,,,,,,,,,,
J19,C,114,21,0.5,1,2.7,6.1,10,12.3,12.2,9.5,7.3,4.7,5.5,6.2,7,8.2,6.3,5.9,3.2,2.6,1.6,0.8,0.2,,,,,,,,
