f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32
2,14,5,6,12,7,11,12,4,4,4,4,3,2,4,5,4,2,42,68,3,13,2,20,1,1,0,0,2,6,13,0
2,21,5,6,12,7,11,12,4,4,2,3,1,4,4,5,4,5,47,54,3,13,2,20,0,1,0,0,4,6,13,0
23,31,3,4,12,6,15,17,4,3,5,5,45,69,5,6,5,6,47,53,3,13,2,20,1,0,0,0,2,6,14,0
23,31,6,4,11,6,15,17,4,3,5,5,45,69,5,6,5,6,47,52,3,13,2,20,0,0,2,0,8,8,14,2
23,31,5,4,6,6,15,17,5,3,5,5,45,69,5,6,5,6,33,88,2,8,2,9,1,0,1,1,8,8,14,1
23,31,6,4,11,6,15,17,4,3,5,5,45,69,5,6,5,6,47,51,3,13,2,20,1,0,2,2,8,8,14,2
10,12,5,6,7,4,13,14,4,4,2,4,40,29,6,4,1,5,47,84,3,13,2,20,0,0,0,0,5,7,13,0
23,31,5,6,7,4,8,16,4,4,2,3,22,42,5,4,5,5,47,69,3,13,2,20,0,0,0,0,1,7,13,0
17,1,5,5,7,6,13,14,4,3,2,4,38,27,6,4,4,1,47,84,3,13,2,20,0,0,0,0,5,7,13,0
23,31,5,7,9,4,13,8,8,3,4,2,20,41,5,3,5,2,43,59,3,13,2,20,1,0,0,2,8,8,14,0
23,31,5,7,6,4,15,17,5,3,5,5,45,69,5,6,5,6,49,88,2,12,2,8,1,0,1,1,8,8,14,1
21,1,5,7,9,4,13,9,8,3,1,1,43,25,4,5,6,4,47,71,3,13,2,20,0,1,0,0,4,7,13,0
0,18,5,7,9,4,14,13,8,3,0,0,1,1,1,4,6,3,47,50,3,13,2,18,0,1,0,0,4,6,13,0
0,18,5,7,9,4,14,13,8,3,0,0,1,1,1,4,6,3,47,50,3,13,2,20,0,1,0,0,4,6,13,0
0,18,5,7,9,4,14,13,8,3,0,0,1,1,1,4,6,3,47,50,3,13,2,18,0,1,0,0,4,6,13,0
8,22,5,7,9,4,15,5,8,3,5,3,45,10,1,1,4,5,32,49,3,13,2,20,1,1,2,2,8,8,14,2
8,22,5,7,9,4,15,5,8,3,5,3,45,10,1,1,4,5,32,49,3,13,2,20,1,1,2,2,8,8,14,2
23,31,2,7,5,4,15,17,2,3,5,5,45,69,5,6,5,6,31,88,0,13,2,20,0,0,1,1,8,8,14,1
23,31,5,7,9,4,3,7,8,3,2,4,22,24,5,4,5,1,47,48,3,13,2,20,0,0,0,0,2,4,14,0
23,31,5,7,9,4,15,11,8,3,5,4,45,15,5,4,5,4,47,47,3,13,2,20,0,0,0,0,2,7,14,0
23,31,5,7,9,4,9,4,8,3,0,0,16,14,5,3,5,1,47,46,3,13,2,20,0,0,0,0,4,3,7,0
23,31,5,7,9,4,8,3,8,3,1,2,11,64,5,4,5,4,47,45,3,13,2,20,1,0,0,0,2,2,6,0
23,31,5,7,9,4,15,17,8,3,5,5,45,69,5,6,5,6,38,44,3,13,2,20,1,0,2,2,8,8,14,2
4,1,5,7,9,4,11,12,8,3,2,3,7,66,4,5,4,5,47,54,3,13,2,20,0,0,0,0,4,6,13,0
23,31,5,7,9,4,13,15,8,3,0,1,43,62,5,5,5,1,47,65,3,13,2,20,0,0,0,0,4,7,13,0
23,31,2,7,4,4,15,17,1,3,5,5,45,69,5,6,5,6,33,88,2,7,2,7,1,0,1,1,8,8,14,1
23,31,5,7,9,4,4,14,8,3,1,2,8,8,5,5,5,0,47,43,3,13,2,20,0,0,0,0,4,6,5,0
23,31,5,7,9,4,15,17,8,3,5,5,45,69,5,6,5,6,47,42,3,13,2,20,0,0,0,0,4,7,11,0
6,9,5,7,9,4,2,8,8,3,1,4,24,30,6,4,3,4,47,77,3,13,2,20,0,0,0,0,4,6,13,0
23,31,5,7,9,4,5,7,8,3,2,3,22,21,5,5,5,5,47,55,3,13,2,20,0,0,0,0,4,6,13,0
23,31,5,3,9,4,15,17,8,3,5,5,45,69,5,6,5,6,47,41,3,13,2,20,0,0,2,0,8,8,14,2
20,13,5,3,9,4,9,4,8,3,0,0,16,14,4,3,3,1,47,46,3,13,2,20,0,0,0,0,4,3,7,0
23,31,5,3,9,4,15,17,8,3,5,5,45,69,5,6,5,6,47,40,3,13,2,20,0,0,2,0,8,8,14,2
23,31,5,3,9,4,1,7,8,3,2,3,2,4,5,4,5,4,47,55,3,13,2,18,0,0,0,0,4,6,13,0
22,26,5,3,9,4,1,7,8,3,2,3,2,4,6,4,3,4,47,55,3,13,2,18,0,1,0,0,4,6,13,0
23,31,5,3,9,4,15,17,8,3,5,5,45,69,5,6,5,6,47,39,3,13,2,18,1,0,0,0,4,6,13,0
23,31,5,5,7,5,15,17,4,2,5,5,45,69,5,6,5,6,47,38,3,13,2,18,0,0,2,0,8,8,14,2
23,31,5,5,7,5,15,17,4,2,5,5,45,69,5,6,5,6,47,37,3,13,2,18,0,0,0,0,7,1,4,0
23,31,8,5,5,5,15,17,2,2,5,5,45,69,5,6,5,6,30,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,8,5,5,5,15,17,2,2,5,5,45,69,5,6,5,6,29,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,8,5,5,5,15,17,2,2,5,5,45,69,5,6,5,6,30,88,0,13,2,18,0,0,1,1,8,8,14,1
20,28,5,5,9,5,2,13,8,2,3,1,33,43,6,4,6,3,47,50,3,13,2,18,0,1,0,0,4,6,13,0
18,31,5,5,9,5,15,17,8,2,5,5,45,69,6,6,1,6,47,39,3,13,2,18,1,1,0,0,4,6,13,0
19,30,5,5,9,5,1,7,8,2,2,3,2,4,6,4,3,4,47,55,3,13,2,18,0,1,0,0,4,6,13,0
23,31,8,5,5,6,15,17,2,3,5,5,45,69,5,6,5,6,28,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,5,5,7,6,13,8,4,3,4,4,10,34,5,4,5,2,43,59,3,13,2,18,1,0,0,2,8,8,14,0
15,17,5,5,7,6,13,8,4,3,4,4,10,34,0,4,1,2,43,59,3,13,2,18,1,0,0,2,8,8,14,0
23,31,8,5,5,6,15,17,2,3,5,5,45,69,5,6,5,6,28,88,0,13,2,18,0,1,1,1,8,8,14,1
23,31,5,5,7,5,15,13,4,4,5,4,45,58,5,5,5,2,47,36,3,13,2,18,0,0,0,0,4,0,3,0
23,31,7,5,10,6,15,17,6,3,5,5,45,69,5,6,5,6,43,88,1,13,1,6,1,1,1,1,8,8,14,1
5,28,1,2,7,6,13,14,4,3,2,4,26,50,6,4,4,5,47,84,3,13,2,18,0,0,0,0,5,7,13,0
23,31,3,2,3,6,11,13,4,3,1,4,0,59,5,5,5,4,47,73,3,13,2,18,0,0,0,0,4,7,14,0
23,31,3,3,3,6,2,13,4,3,3,4,9,63,5,5,5,3,47,35,3,13,2,18,0,0,0,0,4,5,14,0
23,31,7,2,10,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,0,1,1,8,8,14,1
23,31,5,2,3,6,4,14,4,3,4,4,35,35,5,4,5,2,47,75,3,13,2,18,0,0,0,0,4,6,8,0
14,19,5,2,3,6,10,10,4,3,3,1,31,33,3,3,6,3,26,79,3,13,2,18,1,0,2,2,8,8,14,2
19,24,1,2,11,6,13,8,4,3,4,4,10,34,0,4,1,2,43,59,3,13,2,18,1,0,0,2,8,8,14,0
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,0,1,1,8,8,14,1
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,8,2,5,6,15,17,2,3,5,5,45,69,5,6,5,6,31,88,0,13,2,20,0,1,1,1,8,8,14,1
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,3,6,3,6,15,17,4,1,5,5,45,69,5,6,5,6,25,34,3,13,2,18,1,0,2,0,0,7,14,0
23,31,3,6,9,3,15,17,0,1,5,5,45,69,5,6,5,6,24,33,3,13,2,18,1,0,0,0,2,6,14,0
23,31,0,2,7,4,4,14,0,0,2,3,36,37,5,4,5,2,47,87,3,13,2,18,0,0,0,0,7,7,13,0
23,31,0,2,7,4,15,2,0,0,5,4,45,2,5,4,5,2,23,32,3,13,2,18,0,0,0,0,2,6,14,0
23,31,0,1,7,2,15,12,0,0,5,2,45,0,5,5,5,4,47,31,3,13,2,18,0,0,2,0,0,8,14,0
23,31,0,1,7,5,13,14,0,0,2,4,18,52,5,5,5,2,47,84,3,13,2,18,0,0,0,0,5,7,13,0
23,31,0,1,7,5,11,12,0,0,4,4,3,2,5,5,5,2,47,30,3,13,2,18,1,0,0,0,4,6,13,0
23,31,0,1,7,5,15,17,0,0,5,5,45,69,5,6,5,6,47,29,3,13,2,18,0,0,0,0,6,7,2,0
23,31,0,1,7,5,15,17,0,0,5,5,45,69,5,6,5,6,48,28,3,13,2,18,1,0,2,2,8,8,14,2
23,31,0,1,7,5,13,14,0,0,2,4,15,51,5,4,5,1,47,84,3,13,2,18,0,0,0,0,5,7,13,0
23,31,0,6,7,1,15,17,0,0,5,5,45,69,5,6,5,6,44,27,3,13,2,18,0,0,2,0,8,8,14,2
0,16,0,6,7,1,13,14,0,0,2,4,15,51,4,4,6,1,47,84,3,13,2,18,0,0,0,0,5,7,13,0
23,31,5,6,1,1,15,17,2,0,5,5,45,69,5,6,5,6,22,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,3,5,8,1,15,17,0,0,5,5,45,69,5,6,5,6,39,26,3,13,2,18,1,0,0,0,2,5,14,0
23,31,3,5,8,1,15,17,0,0,5,5,45,69,5,6,5,6,47,25,3,13,2,18,1,0,0,0,4,7,5,0
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,0,1,1,8,8,14,1
23,31,2,5,11,1,15,17,2,0,5,5,45,69,5,6,5,6,21,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,2,5,11,1,15,17,5,0,5,5,45,69,5,6,5,6,45,88,2,6,2,20,1,1,1,1,8,8,14,1
23,31,3,5,8,1,15,17,0,0,5,5,45,69,5,6,5,6,43,21,3,13,2,18,0,0,2,2,8,8,14,2
23,31,2,6,11,1,15,17,5,0,5,5,45,69,5,6,5,6,50,88,2,10,2,20,1,0,1,1,8,8,14,1
23,31,0,6,7,1,15,17,0,0,5,5,45,69,5,6,5,6,18,20,3,13,2,18,1,0,0,0,2,4,1,0
23,31,2,1,11,2,15,17,5,0,5,5,45,69,5,6,5,6,17,88,2,4,2,4,1,0,1,1,8,8,14,1
23,31,2,2,11,4,15,17,5,0,5,5,45,69,5,6,5,6,34,88,2,9,2,3,1,1,1,1,8,8,14,1
23,31,2,2,11,4,15,17,5,0,5,5,45,69,5,6,5,6,34,88,2,9,2,3,1,1,1,1,8,8,14,1
23,31,2,2,11,4,15,17,5,0,5,5,45,69,5,6,5,6,34,88,2,9,2,3,1,1,1,1,8,8,14,1
23,31,2,2,11,4,15,17,5,0,5,5,45,69,5,6,5,6,34,88,2,9,2,3,1,0,1,1,8,8,14,1
23,31,5,1,1,2,15,17,2,0,5,5,45,69,5,6,5,6,16,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,5,1,1,2,15,17,2,0,5,5,45,69,5,6,5,6,16,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,0,1,7,2,15,17,0,0,5,5,45,69,5,6,5,6,47,30,3,13,2,18,1,0,0,0,4,6,13,0
23,31,0,2,7,4,12,14,0,0,2,4,21,53,5,4,5,4,47,84,3,13,2,18,0,0,0,0,5,7,13,0
23,31,0,2,7,4,15,17,0,0,5,5,45,69,5,6,5,6,47,19,3,13,2,18,0,0,2,0,8,8,14,2
23,31,0,2,7,4,5,1,0,0,0,4,3,5,5,4,5,1,15,18,3,13,2,18,0,0,0,0,2,7,14,0
23,31,3,6,9,3,15,1,0,1,5,4,45,21,5,4,5,2,47,18,3,13,2,18,0,0,0,0,2,7,14,0
23,31,3,0,9,5,15,1,0,1,5,1,45,0,5,4,5,3,47,17,3,13,2,18,0,0,0,0,2,6,14,0
23,31,3,0,9,5,4,14,0,1,2,3,42,39,5,5,5,5,47,87,3,13,2,18,0,0,0,0,7,7,13,0
23,31,9,5,3,5,13,14,8,1,2,4,30,54,5,4,5,5,47,84,3,13,2,18,0,0,0,0,5,7,13,0
18,15,1,5,9,2,15,16,8,3,5,4,45,0,6,4,4,2,47,16,3,13,2,18,0,0,0,0,2,1,14,0
23,31,1,5,9,2,0,0,8,3,3,1,0,0,5,3,5,3,14,15,3,13,2,18,1,0,2,2,8,8,14,2
23,31,3,6,3,6,15,17,4,1,5,5,45,69,5,6,5,6,14,14,3,13,2,18,1,0,0,0,2,7,14,0
23,31,3,6,3,6,15,17,4,1,5,5,45,69,5,6,5,6,13,13,3,13,2,18,0,0,2,0,8,8,14,2
23,31,8,2,5,6,15,17,2,3,5,5,45,69,5,6,5,6,31,88,0,13,2,20,0,1,1,1,8,8,14,1
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,7,2,2,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
19,20,5,2,3,6,11,12,4,3,2,3,17,65,4,5,4,2,47,54,3,13,2,18,0,0,0,0,4,6,13,0
23,31,7,2,10,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,7,2,10,6,15,17,6,3,5,5,45,69,5,6,5,6,27,88,1,13,0,19,1,1,1,1,8,8,14,1
23,31,3,2,3,6,15,16,4,3,5,0,45,58,5,4,5,1,47,12,3,13,2,18,0,0,0,0,6,6,12,0
23,31,3,7,3,0,15,17,4,3,5,5,45,69,5,6,5,6,45,11,3,13,2,18,1,0,2,2,8,8,14,2
23,31,2,3,11,6,15,17,5,3,5,5,45,69,5,6,5,6,49,88,2,7,2,2,1,0,1,1,8,8,14,1
23,31,2,3,11,6,15,17,5,3,5,5,45,69,5,6,5,6,49,88,2,3,2,13,1,0,1,1,8,8,14,1
23,31,2,2,11,6,15,17,5,3,5,5,45,69,5,6,5,6,33,88,2,2,2,19,1,0,1,1,8,8,14,1
9,2,5,2,7,6,10,10,4,3,3,1,27,33,3,3,6,3,44,79,3,13,2,20,1,1,2,2,8,8,14,2
23,31,2,5,11,5,15,17,5,4,5,5,45,69,5,6,5,6,12,88,2,1,2,4,1,0,1,1,8,8,14,1
23,31,5,5,7,6,15,17,4,3,5,5,45,69,5,6,5,6,47,10,3,13,2,18,0,0,2,0,8,8,14,2
12,2,5,5,7,6,9,11,4,3,3,2,25,18,6,4,6,3,47,80,3,13,2,18,0,0,0,0,7,7,13,0
18,31,5,5,9,5,15,17,8,2,5,5,45,69,6,6,1,6,47,39,3,13,2,18,1,1,0,0,4,6,13,0
23,31,8,5,5,5,15,17,2,2,5,5,45,69,5,6,5,6,11,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,8,5,5,5,15,17,2,2,5,5,45,69,5,6,5,6,10,88,0,13,2,18,0,0,1,1,8,8,14,1
0,8,5,3,9,4,2,13,8,3,3,1,23,17,4,5,3,3,47,81,3,13,2,18,0,0,0,0,3,7,11,0
23,31,5,3,9,4,11,13,8,3,2,4,12,67,5,5,5,5,47,73,3,13,2,18,0,0,0,0,4,7,14,0
23,31,2,3,11,4,15,17,5,3,5,5,45,69,5,6,5,6,45,88,2,10,2,1,1,1,1,1,8,8,14,1
23,31,7,7,5,4,15,17,2,3,5,5,45,69,5,6,5,6,9,88,0,13,2,18,0,0,1,1,8,8,14,1
23,31,5,3,9,4,15,17,8,3,5,5,45,69,5,6,5,6,47,9,3,13,2,20,0,0,2,0,8,8,14,2
3,16,5,7,9,4,13,14,8,3,2,4,14,45,6,4,4,5,47,84,3,13,2,20,0,1,0,0,5,7,13,0
23,31,2,7,4,4,15,17,1,3,5,5,45,69,5,6,5,6,8,88,2,8,2,9,1,0,1,1,8,8,14,1
23,31,7,7,5,4,15,17,2,3,5,5,45,69,5,6,5,6,7,88,0,13,2,20,0,0,1,1,8,8,14,1
23,31,5,7,9,4,9,4,8,3,0,0,16,14,5,3,5,1,47,46,3,13,2,20,0,0,0,0,4,3,7,0
23,31,5,7,9,4,15,17,8,3,5,5,45,69,5,6,5,6,6,8,3,13,2,20,0,0,0,0,6,1,0,0
23,31,5,7,9,4,8,16,8,3,3,1,0,44,5,4,5,3,41,57,3,13,2,20,0,0,0,0,2,7,14,0
23,31,5,7,9,4,15,7,8,3,5,1,45,3,5,4,5,5,5,7,3,13,2,20,1,0,0,2,8,8,13,0
23,31,5,7,9,4,15,17,8,3,5,5,45,69,5,6,5,6,47,6,3,13,2,20,0,0,0,0,4,7,14,0
23,31,9,7,11,4,15,17,8,3,5,5,45,69,5,6,5,6,47,5,3,13,2,20,0,0,2,0,8,8,14,2
23,31,9,7,11,4,15,17,8,3,5,5,45,69,5,6,5,6,4,4,3,13,2,20,1,0,2,2,8,8,14,2
23,31,5,7,9,4,15,17,8,3,5,5,45,69,5,6,5,6,44,3,3,13,2,20,1,0,2,2,8,8,14,2
23,31,5,7,9,4,15,17,8,3,5,5,45,69,5,6,5,6,14,15,3,13,2,20,1,0,2,2,8,8,14,2
23,31,2,7,0,4,15,17,2,3,5,5,45,69,5,6,5,6,3,88,0,13,2,20,0,1,1,1,8,8,14,1
21,1,5,7,9,4,13,9,8,3,1,1,43,25,4,5,6,4,47,71,3,13,2,20,0,1,0,0,4,7,13,0
21,1,5,7,9,4,13,9,8,3,1,1,43,25,4,5,6,4,47,71,3,13,2,20,0,1,0,0,4,7,13,0
21,1,5,7,9,4,13,9,8,3,1,1,43,25,4,5,6,4,47,71,3,13,2,20,0,1,0,0,4,7,13,0
21,1,5,7,9,4,13,9,8,3,1,1,43,25,4,5,6,4,47,71,3,13,2,20,0,1,0,0,4,7,13,0
23,31,5,7,9,4,15,5,8,3,5,3,45,10,5,1,5,5,32,49,3,13,2,20,1,0,2,2,8,8,14,2
23,31,2,7,0,4,15,17,2,3,5,5,45,69,5,6,5,6,3,88,0,13,2,20,0,0,1,1,8,8,14,1
23,31,5,7,9,4,13,8,8,3,4,2,20,41,5,3,5,2,38,59,3,13,2,20,1,0,0,2,8,8,14,0
23,31,5,7,9,4,14,13,8,3,0,0,1,1,5,4,5,3,47,50,3,13,2,20,0,0,0,0,4,6,13,0
10,6,5,6,7,4,6,8,4,4,0,4,19,19,6,4,3,4,47,77,3,13,2,20,0,1,0,0,4,6,13,0
23,31,5,6,7,4,15,17,4,4,5,5,45,69,5,6,5,6,47,2,3,13,2,20,0,0,2,0,8,8,14,2
23,31,5,6,7,4,15,17,4,4,5,5,45,69,5,6,5,6,43,1,3,13,2,20,1,0,0,2,8,7,14,0
23,31,5,6,7,4,15,17,4,4,5,5,45,69,5,6,5,6,47,0,3,13,2,20,0,0,2,0,8,8,14,2
1,31,5,6,7,4,15,17,4,4,5,5,45,69,6,6,1,6,47,2,3,13,2,20,0,0,2,0,8,8,14,2
14,31,6,4,11,6,15,17,4,3,5,5,45,69,4,6,4,6,47,52,3,13,2,20,0,1,2,0,8,8,14,2
23,31,6,4,11,6,15,17,4,3,5,5,45,69,5,6,5,6,48,28,3,13,2,20,1,0,2,2,8,8,14,2
11,28,5,6,12,7,12,9,4,4,1,2,44,68,3,3,1,4,48,82,3,13,2,18,0,1,2,0,8,8,14,2
0,30,5,6,12,7,4,9,4,4,0,1,43,22,4,4,3,1,47,71,3,13,2,20,0,1,0,0,4,7,13,0
0,30,5,6,12,7,4,9,4,4,0,1,43,22,4,4,3,1,47,71,3,13,2,20,0,1,0,0,4,7,13,0
23,31,2,6,8,7,15,17,5,4,5,5,45,69,5,6,5,6,34,88,2,9,2,0,1,0,1,1,8,8,14,1
23,31,2,6,8,7,15,17,5,4,5,5,45,69,5,6,5,6,45,88,2,0,2,20,1,0,1,1,8,8,14,1
4,1,5,6,12,7,11,12,4,4,2,3,1,4,4,5,4,5,47,54,3,13,2,20,0,1,0,0,4,6,13,0
4,12,5,6,12,7,11,12,4,4,4,4,3,2,4,5,4,2,42,68,3,13,2,20,1,1,0,0,2,6,13,0
4,1,5,6,12,7,11,12,4,4,2,3,1,4,4,5,4,5,47,54,3,13,2,20,0,1,0,0,4,6,13,0
4,12,3,6,12,7,11,12,4,4,4,4,3,2,4,5,4,2,42,68,3,13,2,20,1,1,0,0,2,6,13,0
10,27,3,6,12,7,4,9,4,4,0,1,43,22,4,4,3,1,47,71,3,13,2,20,0,1,0,0,4,7,13,0
23,31,3,6,12,7,14,10,4,4,0,1,39,9,5,5,5,1,2,23,3,13,2,20,1,0,0,2,8,5,14,0
23,31,3,6,12,7,11,12,4,4,2,3,4,28,5,5,5,5,47,54,3,13,2,20,0,0,0,0,4,6,13,0
23,31,6,4,7,4,1,11,4,4,0,3,3,26,5,5,5,1,47,54,3,13,2,20,0,0,0,0,4,6,13,0
23,31,6,4,7,4,15,17,4,4,5,5,45,69,5,6,5,6,33,46,3,13,2,20,0,0,0,0,4,3,7,0
23,31,6,4,7,4,4,13,4,4,0,0,2,2,5,5,5,1,47,50,3,13,2,20,0,0,0,0,4,6,13,0
23,31,4,4,6,4,15,17,3,4,5,5,45,69,5,6,5,6,1,88,0,13,2,20,0,1,1,1,8,8,14,1
23,31,4,4,6,4,15,17,3,4,5,5,45,69,5,6,5,6,36,88,0,13,2,20,0,1,1,1,8,8,14,1
23,31,4,4,6,4,15,17,3,4,5,5,45,69,5,6,5,6,0,88,0,13,2,20,0,0,1,1,8,8,14,1
23,31,4,4,6,4,15,17,3,4,5,5,45,69,5,6,5,6,1,88,0,13,2,20,0,0,1,1,8,8,14,1
