f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12
Sexy,Low,4.8,L,Summer,o-neck,sleevless,natural,cotton,null,null,solid
Casual,Average,4.3,M,Spring,o-neck,halfsleeve,null,null,null,null,null
Casual,Average,4.7,XL,winter,v-neck,short,empire,milksilk,null,null,print
Casual,Low,0,L,winter,v-neck,full,null,null,null,null,solid
Sexy,Average,4.7,M,Automn,slash-neck,sleevless,natural,nylon,null,rivet,solid
Casual,Low,4.7,free,winter,o-neck,sleevless,natural,null,null,null,null
Casual,high,0,L,winter,v-neck,full,null,polyster,null,null,solid
Casual,Low,4.7,L,Summer,o-neck,sleevless,natural,silk,worsted,lace,patchwork
Casual,Average,4.7,free,Summer,v-neck,full,natural,cotton,null,sashes,solid
Casual,Average,0,free,Winter,v-neck,full,null,cashmere,null,null,solid
Casual,low,4.7,free,Summer,o-neck,capsleeves,natural,chiffonfabric,chiffon,null,print
Casual,Average,4.7,M,Summer,o-neck,thressqatar,null,chiffonfabric,chiffon,ruched,solid
Sexy,low,4.5,free,Summer,slash-neck,sleevless,null,polyster,Corduroy,null,null
vintage,low,4,free,Summer,turndowncollor,short,natural,cotton,wollen,hollowout,solid
Sexy,low,4.7,free,Summer,v-neck,sleevless,null,null,null,null,null
bohemian,low,5,free,Summer,o-neck,sleevless,empire,cotton,broadcloth,tassel,print
Casual,low,4.7,S,Winter,o-neck,sleeevless,natural,knitting,null,lace,solid
Sexy,Average,4.5,S,Winter,v-neck,sleevless,null,polyster,null,null,null
cute,Average,4.7,M,Summer,o-neck,sleevless,natural,chiffonfabric,null,sashes,splice
vintage,Low,0,free,Summer,o-neck,sleevless,natural,cotton,batik,null,print
Casual,Average,4.1,L,winter,o-neck,sleevless,natural,polyster,null,null,null
Casual,Average,4.2,M,winter,v-neck,full,empire,polyster,null,lace,patchwork
Brief,Average,4.8,free,winter,v-neck,halfsleeve,natural,polyster,broadcloth,null,solid
Brief,Average,4.9,free,Winter,o-neck,sleevless,natural,null,null,null,solid
Sexy,Average,4.8,S,Winter,v-neck,sleevless,empire,polyster,chiffon,lace,solid
Casual,Average,4.7,L,Winter,o-neck,sleevless,natural,polyster,chiffon,null,patchwork
vintage,Average,4.7,M,Summer,v-neck,short,natural,rayon,null,beading,print
Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid
Sexy,Low,4.7,M,Winter,v-neck,sleevless,natural,polyster,null,null,striped
Casual,Average,5,s,Spring,turndowncollor,full,empire,cotton,worsted,null,solid
Casual,Low,1,M,Spring,o-neck,halfsleeve,null,null,chiffon,null,null
Sexy,Average,4.1,free,Summer,v-neck,sleevless,natural,cotton,null,lace,null
Casual,Low,4,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,hollowout,print
work,Average,4.7,M,Spring,v-neck,sleevless,null,null,null,null,null
cute,Average,4.6,free,Spring,v-neck,full,natural,cotton,chiffon,null,solid
Casual,Low,5,M,Spring,o-neck,sleevless,natural,spandex,jersey,null,print
Casual,Average,4.7,M,Automn,v-neck,sleevless,natural,null,chiffon,null,striped
Casual,low,4.6,free,winter,o-neck,full,natural,polyster,null,applique,solid
Casual,Average,4.5,L,Summer,o-neck,short,natural,cotton,jersey,pockets,solid
cute,Average,4.6,M,Automn,o-neck,thressqatar,natural,silk,chiffon,sashes,print
Casual,Low,4.6,free,Automn,o-neck,halfsleeve,natural,chiffonfabric,chiffon,null,leapord
Casual,Low,4.7,L,Summer,NULL,sleevless,null,cotton,null,null,solid
Sexy,Low,0,L,Summer,o-neck,sleevless,empire,sill,null,null,striped
bohemian,Average,4,free,Winter,o-neck,sleevless,natural,polyster,chiffon,ruffles,striped
Casual,low,4.7,free,Summer,o-neck,full,natural,cotton,null,null,solid
work,Average,0,M,Summer,v-neck,sleevless,natural,cotton,worsted,null,solid
bohemian,Average,4.1,free,Summer,o-neck,thressqatar,null,null,null,hollowout,null
Casual,Average,0,M,Spring,o-neck,halfsleeve,natural,null,null,lace,null
Brief,Low,4.6,M,Summer,o-neck,short,natural,cotton,null,null,animal
cute,Low,0,free,Spring,v-neck,sleevless,empire,chiffonfabric,chiffon,null,null
Casual,Average,5,M,Spring,o-neck,thressqatar,null,spandex,null,null,null
Casual,Low,5,free,winter,o-neck,full,natural,wool,null,applique,solid
vintage,Average,4.5,L,winter,o-neck,short,empire,null,null,sequined,patchwork
Casual,Average,4.5,free,Summer,o-neck,short,natural,polyster,null,null,solid
bohemian,Low,4.4,L,Summer,bowneck,short,natural,cotton,null,null,dot
Casual,high,0,L,winter,v-neck,thressqatar,natural,polyster,null,ruffles,solid
Casual,Average,4.8,free,winter,o-neck,sleevless,null,polyster,null,sashes,solid
Brief,Low,4.7,M,Winter,o-neck,full,natural,cotton,null,null,patchwork
Casual,Medium,0,free,Winter,bowneck,full,null,cashmere,knitted,null,solid
Casual,Average,4.7,M,Winter,o-neck,short,empire,polyster,shiffon,null,animal
party,Average,0,M,Summer,o-neck,full,natural,cotton,null,null,patchwork
bohemian,Average,4.8,S,Summer,v-neck,short,natural,cotton,null,null,solid
Sexy,Average,4.9,free,Summer,sqare-collor,sleevless,natural,polyster,null,sashes,print
Casual,Average,3,M,Spring,turndowncollor,short,empire,polyster,null,sashes,patchwork
Casual,low,4.7,L,Automn,o-neck,short,natural,polyster,shiffon,null,patchwork
Casual,Average,4.3,M,Automn,o-neck,sleevless,natural,polyster,null,plain,solid
Casual,Average,0,XL,Winter,v-neck,short,empire,polyster,shiffon,pockets,solid
Casual,Low,5,free,Summer,o-neck,sleevless,natural,model,jersey,plain,solid
vintage,Average,0,L,Summer,sqare-collor,short,empire,cotton,chiffon,null,dot
Casual,Low,4.7,free,winter,o-neck,sleevless,natural,milksilk,null,null,animal
vintage,Average,5,M,Summer,v-neck,thressqatar,natural,polyster,null,null,print
Casual,Low,4.7,L,Summer,o-neck,full,natural,mix,worsted,lace,patchwork
bohemian,Average,4.6,M,Spring,o-neck,sleevless,natural,shiffon,shiffon,sashes,solid
party,Average,4.8,M,Summer,o-neck,full,null,cotton,null,null,solid
bohemian,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid
party,very-high,4.6,free,Summer,o-neck,sleevless,empire,rayon,null,hollowout,solid
cute,Low,4.8,M,Spring,o-neck,short,natural,shiffon,shiffon,bow,dot
vintage,Average,0,M,Spring,o-neck,halfsleeve,empire,polyster,null,lace,animal
Casual,Medium,4.9,L,Winter,o-neck,short,natural,cotton,broadcloth,sashes,solid
Casual,Average,4.2,free,Summer,o-neck,sleevless,natural,cotton,worsted,null,striped
Casual,Average,4.9,M,Summer,o-neck,short,dropped,cotton,null,ruffles,patchwork
bohemian,Low,5,XL,Spring,v-neck,thressqatar,natural,null,shiffon,null,print
Casual,Average,4.7,M,Summer,o-neck,sleevless,null,cotton,null,null,dot
Casual,Average,0,free,Summer,bowneck,halfsleeve,null,cotton,null,null,null
Casual,Average,0,free,Summer,o-neck,sleevless,natural,cotton,null,lace,floral
Sexy,Medium,0,free,winter,o-neck,sleevless,natural,polyster,null,sequined,solid
Sexy,low,4.4,free,Automn,v-neck,sleevless,natural,cotton,worsted,lace,solid
Sexy,Average,0,free,Spring,v-neck,full,natural,cotton,wollen,lace,solid
Brief,Average,4.9,XL,Spring,slash-neck,full,natural,null,null,sashes,solid
Casual,Average,4.7,XL,Summer,v-neck,halfsleeve,natural,null,broadcloth,null,print
Casual,Average,0,free,Automn,v-neck,full,natural,cotton,null,lace,solid
Casual,Average,4.8,M,Summer,v-neck,full,natural,null,shiffon,null,null
Casual,Medium,4.9,L,Spring,sqare-collor,sleevless,empire,null,null,null,print
party,Average,4.7,M,Spring,o-neck,halfsleeve,empire,null,shiffon,null,patchwork
Sexy,low,4.4,free,Summer,bowneck,sleevless,natural,viscos,null,bow,solid
bohemian,Low,4.6,free,winter,o-neck,sleevless,empire,polyster,null,null,patchwork
Casual,Low,4.6,free,Autumn,o-neck,full,natural,rayon,null,lace,solid
Sexy,Low,4.5,free,Summer,o-neck,sleevless,empire,cotton,null,sashes,solid
Sexy,Low,0,free,winter,v-neck,NULL,dropped,cotton,null,lace,null
Casual,Average,0,XL,Spring,bowneck,sleevless,natural,mix,null,lace,solid
Sexy,Average,0,free,Autumn,o-neck,full,natural,polyster,sattin,hollowout,solid
Sexy,Low,4.8,free,Spring,v-neck,sleevless,natural,null,null,null,striped
Brief,Low,4.7,free,Autumn,o-neck,sleevless,natural,null,shiffon,sequined,solid
Sexy,high,5,M,Summer,v-neck,sleevless,natural,mix,null,null,striped
Casual,Average,4.6,L,Summer,bowneck,full,dropped,cotton,null,null,patchwork
cute,Medium,4.9,S,Summer,bowneck,sleevless,empire,null,null,bow,patchwork
Novelty,Average,4.9,M,Autumn,o-neck,short,natural,polyster,chiffon,none,print
Casual,Low,4.3,free,Spring,o-neck,full,null,null,chiffon,sashes,none
Casual,Low,4.7,S,Autumn,o-neck,sleevless,natural,cotton,null,null,solid
Casual,Average,4.8,L,Autumn,boat-neck,sleevless,natural,null,null,sashes,solid
cute,Average,4.5,L,winter,v-neck,sleevless,natural,polyster,jersey,sashes,solid
Casual,Average,4.4,free,Summer,o-neck,capsleeves,natural,cotton,null,null,solid
party,Average,0,M,Spring,o-neck,sleevless,null,null,chiffon,null,solid
Sexy,Low,0,free,Summer,v-neck,sleevless,dropped,null,null,null,null
Casual,Low,4.8,L,Summer,v-neck,thressqatar,natural,cotton,null,null,print
work,Average,5,M,Summer,o-neck,sleveless,natural,null,null,null,solid
Novelty,Average,5,free,Summer,o-neck,sleeveless,natural,null,null,null,print
Casual,Low,4.6,free,Spring,v-neck,sleevless,natural,silk,chiffon,draped,solid
Casual,Average,4.5,M,Summer,o-neck,full,natural,cotton,null,lace,solid
Casual,Average,4.5,L,Spring,boat-neck,thressqatar,natural,null,dobby,lace,animal
Casual,Average,4.5,free,Autumn,o-neck,halfsleeve,natural,cotton,chiffon,hollowout,solid
cute,Low,0,M,Summer,boat-neck,short,null,null,chiffon,sashes,null
party,Average,4.9,M,winter,o-neck,halfsleeve,null,cotton,null,lace,null
Casual,Average,4.8,M,Summer,o-neck,halfsleeve,null,null,null,null,null
Casual,Low,4.4,L,Summer,o-neck,sleevless,natural,cotton,chiffon,null,solid
Casual,Average,4.3,M,winter,slash-neck,sleeveless,natural,polyster,null,sashes,solid
cute,Average,4.7,L,Summer,o-neck,sleevless,natural,polyster,broadcloth,lace,solid
Sexy,Average,0,S,Summer,v-neck,sleevless,null,null,null,null,null
Casual,Low,4.4,free,Summer,o-neck,sleevless,null,null,null,null,animal
cute,high,4.3,M,Spring,boat-neck,full,natural,polyster,terry,lace,solid
work,Average,4.8,M,winter,turndowncollor,full,natural,null,null,null,solid
Casual,Average,4.6,M,Spring,o-neck,halfsleeve,natural,polyster,null,lace,solid
Sexy,Low,0,free,Summer,v-neck,sleevless,empire,cotton,null,null,solid
Casual,high,4.9,XL,winter,v-neck,full,empire,cotton,null,sequined,solid
Sexy,Low,0,free,winter,o-neck,sleevless,natural,lycra,chiffon,hollowout,solid
cute,Average,5,M,Autumn,v-neck,sleevless,natural,cotton,null,null,solid
cute,Low,0,free,Spring,v-neck,sleevless,natural,silk,worsted,lace,patchwork
Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,null,pockets,solid
Casual,Average,0,L,Spring,o-neck,sleevless,natural,chiffonfabric,chiffon,sequined,solid
cute,Average,4.7,M,Spring,o-neck,full,natural,rayon,chiffon,beading,solid
Casual,Average,4.6,M,winter,v-neck,halfsleeve,natural,silk,chiffon,sashes,solid
Casual,Low,4.4,free,Summer,o-neck,full,natural,cotton,null,null,solid
Casual,Low,5,M,Automn,o-neck,sleevless,empire,null,chiffon,null,print
Casual,Average,0,free,winter,o-neck,short,natural,polyster,chiffon,cascading,solid
Sexy,Average,0,free,winter,slash-neck,sleevless,natural,cotton,broadcloth,sequined,solid
Casual,Low,4.4,M,Summer,o-neck,halfsleeve,empire,chiffonfabric,chiffon,bow,solid
cute,Average,0,L,Summer,o-neck,sleevless,empire,cotton,null,lace,solid
Casual,Low,4.8,free,winter,bowneck,full,natural,polyster,chiffon,bow,solid
Casual,Average,5,L,Summer,o-neck,sleevless,natural,cotton,null,null,null
cute,Average,4.6,M,Spring,o-neck,halfsleeve,natural,acrylic,chiffon,null,null
bohemian,Low,4.6,free,Summer,o-neck,sleevless,natural,cotton,chiffon,none,solid
Brief,Average,4.7,M,winter,o-neck,halfsleeve,natural,acrylic,chiffon,null,striped
Casual,Low,4.7,M,Spring,o-neck,full,natural,polyster,null,null,solid
Sexy,Low,4.3,free,Summer,o-neck,full,empire,cotton,null,null,null
Casual,Average,4.7,M,Summer,v-neck,full,empire,cotton,null,lace,solid
Casual,Average,4.6,L,winter,boat-neck,sleevless,empire,silk,broadcloth,applique,print
Casual,Low,4.4,free,Summer,v-neck,short,empire,cotton,Corduroy,lace,solid
